epoch,first_slot,last_slot,account_count,active_account_count,tx_count,blockhash_count,unique_account_growth,global_unique_accounts,new_account_ratio,active_to_global_unique_ratio,registry_path
66,28512000,28943999,1196,1196,54760677,423139,364,49636,0.304347826087,0.024095414618,/home/ach/dev/blockzilla-v2/epoch-66/registry.bin
67,28944000,29375999,1248,1248,52212402,413780,600,50236,0.480769230769,0.024842742257,/home/ach/dev/blockzilla-v2/epoch-67/registry.bin
68,29376000,29807999,832,832,49499656,408462,343,50579,0.412259615385,0.016449514621,/home/ach/dev/blockzilla-v2/epoch-68/registry.bin
69,29808000,30239999,602,602,54001950,419541,188,50767,0.312292358804,0.011858096795,/home/ach/dev/blockzilla-v2/epoch-69/registry.bin
70,30240000,30671999,1101,1101,56029450,423842,487,51254,0.442325158946,0.021481250244,/home/ach/dev/blockzilla-v2/epoch-70/registry.bin
71,30672000,31103999,1593,1593,55073813,416950,935,52189,0.586942875078,0.030523673571,/home/ach/dev/blockzilla-v2/epoch-71/registry.bin
72,31104000,31535999,7191,7191,55678159,417475,6508,58697,0.905020164094,0.122510520129,/home/ach/dev/blockzilla-v2/epoch-72/registry.bin
73,31536000,31967999,24259,24259,50654495,357671,22819,81516,0.940640586999,0.297598017567,/home/ach/dev/blockzilla-v2/epoch-73/registry.bin
74,31968000,32399999,41439,41439,53485551,384996,39735,121251,0.958879316586,0.341762129797,/home/ach/dev/blockzilla-v2/epoch-74/registry.bin
75,32400000,32831999,27754,27754,57727872,399782,26575,147826,0.957519636809,0.187747757499,/home/ach/dev/blockzilla-v2/epoch-75/registry.bin
76,32832000,33263999,34302,34302,54379993,381863,33344,181170,0.972071599324,0.189335982779,/home/ach/dev/blockzilla-v2/epoch-76/registry.bin
77,33264000,33695999,58927,58927,60924386,401114,57815,238985,0.981129193748,0.246571960583,/home/ach/dev/blockzilla-v2/epoch-77/registry.bin
78,33696000,34127999,52530,52530,74903206,407818,51383,290368,0.978164858176,0.180908364558,/home/ach/dev/blockzilla-v2/epoch-78/registry.bin
79,34128000,34559999,40042,40042,76872840,411364,38532,328900,0.962289595924,0.121745211310,/home/ach/dev/blockzilla-v2/epoch-79/registry.bin
80,34560000,34991999,42473,42473,79382598,421126,39648,368548,0.933487156547,0.115244147302,/home/ach/dev/blockzilla-v2/epoch-80/registry.bin
81,34992000,35423999,70090,70090,79998457,410471,66961,435509,0.955357397632,0.160938120682,/home/ach/dev/blockzilla-v2/epoch-81/registry.bin
82,35424000,35855999,65342,65342,81164997,398178,63347,498856,0.969468335833,0.130983690684,/home/ach/dev/blockzilla-v2/epoch-82/registry.bin
83,35856000,36287999,57919,57919,82003634,394692,56190,555046,0.970147965262,0.104349909737,/home/ach/dev/blockzilla-v2/epoch-83/registry.bin
84,36288000,36719999,109074,109074,81061113,376077,107213,662259,0.982938188753,0.164699913478,/home/ach/dev/blockzilla-v2/epoch-84/registry.bin
85,36720000,37151999,54312,54312,82458489,395410,52592,714851,0.968331123877,0.075976672062,/home/ach/dev/blockzilla-v2/epoch-85/registry.bin
86,37152000,37583999,26753,26753,81189864,407253,25308,740159,0.945987365903,0.036144936426,/home/ach/dev/blockzilla-v2/epoch-86/registry.bin
87,37584000,38015999,21945,21945,82301187,404369,19997,760156,0.911232627022,0.028869074243,/home/ach/dev/blockzilla-v2/epoch-87/registry.bin
88,38016000,38447999,24494,24494,84231624,414667,22655,782811,0.924920388667,0.031289800475,/home/ach/dev/blockzilla-v2/epoch-88/registry.bin
89,38448000,38879999,41957,41957,83355737,410569,40232,823043,0.958886479014,0.050977895444,/home/ach/dev/blockzilla-v2/epoch-89/registry.bin
90,38880000,39311999,20703,20703,81762806,420466,19214,842257,0.928078056320,0.024580383422,/home/ach/dev/blockzilla-v2/epoch-90/registry.bin
91,39312000,39743999,28637,28637,83143471,413789,27001,869258,0.942871110801,0.032944189182,/home/ach/dev/blockzilla-v2/epoch-91/registry.bin
92,39744000,40175999,42821,42821,84634068,411154,41201,910459,0.962168095094,0.047032321060,/home/ach/dev/blockzilla-v2/epoch-92/registry.bin
93,40176000,40607999,33184,33184,81157693,412986,31623,942082,0.952959257473,0.035224110003,/home/ach/dev/blockzilla-v2/epoch-93/registry.bin
94,40608000,41039999,28729,28729,81900054,408521,27189,969271,0.946395628111,0.029639801459,/home/ach/dev/blockzilla-v2/epoch-94/registry.bin
95,41040000,41471999,30954,30954,76323200,387393,29294,998565,0.946372035924,0.030998482823,/home/ach/dev/blockzilla-v2/epoch-95/registry.bin
96,41472000,41903999,14662,14662,70571005,375368,12817,1011382,0.874164506889,0.014496995201,/home/ach/dev/blockzilla-v2/epoch-96/registry.bin
97,41904000,42335999,16517,16517,77897679,418207,14737,1026119,0.892232245565,0.016096573594,/home/ach/dev/blockzilla-v2/epoch-97/registry.bin
98,42336000,42767999,8799,8799,77345153,422021,7183,1033302,0.816342766223,0.008515419500,/home/ach/dev/blockzilla-v2/epoch-98/registry.bin
99,42768000,43199999,11509,11509,80630529,417345,9860,1043162,0.856720827179,0.011032802192,/home/ach/dev/blockzilla-v2/epoch-99/registry.bin
100,43200000,43631999,43993,43993,85985993,402076,42221,1085383,0.959720864683,0.040532236086,/home/ach/dev/blockzilla-v2/epoch-100/registry.bin
101,43632000,44063999,28110,28110,84903526,411371,26460,1111843,0.941302027748,0.025282346518,/home/ach/dev/blockzilla-v2/epoch-101/registry.bin
102,44064000,44495999,33339,33339,85130114,415153,31685,1143528,0.950388433966,0.029154511302,/home/ach/dev/blockzilla-v2/epoch-102/registry.bin
103,44496000,44927999,58316,58316,88278112,407838,56070,1199598,0.961485698608,0.048612952006,/home/ach/dev/blockzilla-v2/epoch-103/registry.bin
104,44928000,45359999,34275,34275,87031919,410561,31912,1231510,0.931057622174,0.027831686304,/home/ach/dev/blockzilla-v2/epoch-104/registry.bin
105,45360000,45791999,33731,33731,86690855,414247,31455,1262965,0.932524977024,0.026707786835,/home/ach/dev/blockzilla-v2/epoch-105/registry.bin
106,45792000,46223999,17866,17866,86469482,417517,15545,1278510,0.870088436136,0.013974079202,/home/ach/dev/blockzilla-v2/epoch-106/registry.bin
107,46224000,46655999,22552,22552,87111525,416303,20155,1298665,0.893712309330,0.017365525366,/home/ach/dev/blockzilla-v2/epoch-107/registry.bin
108,46656000,47087999,32054,32054,121514095,403166,29262,1327927,0.912896986336,0.024138375076,/home/ach/dev/blockzilla-v2/epoch-108/registry.bin
109,47088000,47519999,60736,60736,142382029,394168,57769,1385696,0.951149236038,0.043830681477,/home/ach/dev/blockzilla-v2/epoch-109/registry.bin
110,47520000,47951999,42002,42002,148115372,402367,39173,1424869,0.932646064473,0.029477797608,/home/ach/dev/blockzilla-v2/epoch-110/registry.bin
111,47952000,48383999,31397,31397,154176522,405487,28351,1453220,0.902984361563,0.021605125170,/home/ach/dev/blockzilla-v2/epoch-111/registry.bin
112,48384000,48815999,31716,31716,156700116,410797,28538,1481758,0.899798209106,0.021404304886,/home/ach/dev/blockzilla-v2/epoch-112/registry.bin
113,48816000,49247999,55136,55136,154692611,404358,52095,1533853,0.944845473012,0.035946078275,/home/ach/dev/blockzilla-v2/epoch-113/registry.bin
114,49248000,49679999,38086,38086,152685034,399753,34370,1568223,0.902431339600,0.024286086864,/home/ach/dev/blockzilla-v2/epoch-114/registry.bin
115,49680000,50111999,22196,22196,154953637,401032,18919,1587142,0.852360785727,0.013984886040,/home/ach/dev/blockzilla-v2/epoch-115/registry.bin
116,50112000,50543999,23118,23118,147750631,383946,20271,1607413,0.876849208409,0.014382115859,/home/ach/dev/blockzilla-v2/epoch-116/registry.bin
117,50544000,50975999,31088,31088,146467757,369692,27268,1634681,0.877123005661,0.019017777780,/home/ach/dev/blockzilla-v2/epoch-117/registry.bin
118,50976000,51407999,31002,31002,150220116,379293,27487,1662168,0.886620218050,0.018651544248,/home/ach/dev/blockzilla-v2/epoch-118/registry.bin
119,51408000,51839999,18903,18903,147243076,370222,15217,1677385,0.805004496641,0.011269326958,/home/ach/dev/blockzilla-v2/epoch-119/registry.bin
120,51840000,52271999,14879,14879,144189347,373303,11817,1689202,0.794206599906,0.008808301198,/home/ach/dev/blockzilla-v2/epoch-120/registry.bin
121,52272000,52703999,20047,20047,134895446,345007,16636,1705838,0.829849852846,0.011751995207,/home/ach/dev/blockzilla-v2/epoch-121/registry.bin
122,52704000,53135999,23342,23342,152748267,371932,19925,1725763,0.853611515723,0.013525611570,/home/ach/dev/blockzilla-v2/epoch-122/registry.bin
123,53136000,53567999,26250,26250,153260292,386251,22789,1748552,0.868152380952,0.015012421707,/home/ach/dev/blockzilla-v2/epoch-123/registry.bin
124,53568000,53999999,27775,27775,153648705,387594,24841,1773393,0.894365436544,0.015662067009,/home/ach/dev/blockzilla-v2/epoch-124/registry.bin
125,54000000,54431999,30764,30764,130472238,301727,27370,1800763,0.889676244962,0.017083869449,/home/ach/dev/blockzilla-v2/epoch-125/registry.bin
126,54432000,54863999,146408,146408,137840164,318205,143290,1944053,0.978703349544,0.075310703978,/home/ach/dev/blockzilla-v2/epoch-126/registry.bin
127,54864000,55295999,31615,31615,137156450,334264,28422,1972475,0.899003637514,0.016028086541,/home/ach/dev/blockzilla-v2/epoch-127/registry.bin
128,55296000,55727999,374275,374275,132903148,318843,370644,2343119,0.990298577249,0.159733671231,/home/ach/dev/blockzilla-v2/epoch-128/registry.bin
129,55728000,56159999,1588741,1588741,130266536,317211,1569071,3912190,0.987619127347,0.406100163847,/home/ach/dev/blockzilla-v2/epoch-129/registry.bin
130,56160000,56591999,804662,804662,129205476,329565,762459,4674649,0.947551891353,0.172133137697,/home/ach/dev/blockzilla-v2/epoch-130/registry.bin
131,56592000,57023999,1139572,1139572,130468649,289513,932647,5607296,0.818418669465,0.203230220056,/home/ach/dev/blockzilla-v2/epoch-131/registry.bin
132,57024000,57455999,1056578,1056578,139434330,301180,797751,6405047,0.755032756692,0.164960225897,/home/ach/dev/blockzilla-v2/epoch-132/registry.bin
133,57456000,57887999,1069148,1069148,140373846,303544,764664,7169711,0.715208745655,0.149120097030,/home/ach/dev/blockzilla-v2/epoch-133/registry.bin
134,57888000,58319999,1060873,1060873,147189888,313622,719686,7889397,0.678390344556,0.134468198267,/home/ach/dev/blockzilla-v2/epoch-134/registry.bin
135,58320000,58751999,934872,934872,147538498,314015,630513,8519910,0.674437783996,0.109727919661,/home/ach/dev/blockzilla-v2/epoch-135/registry.bin
136,58752000,59183999,1239653,1239653,178015741,348379,830755,9350665,0.670151243937,0.132573779512,/home/ach/dev/blockzilla-v2/epoch-136/registry.bin
137,59184000,59615999,1316388,1316388,214518619,375288,886227,10236892,0.673226282828,0.128592545472,/home/ach/dev/blockzilla-v2/epoch-137/registry.bin
138,59616000,60047999,1283512,1283512,202807599,371353,853005,11089897,0.664586696501,0.115737053284,/home/ach/dev/blockzilla-v2/epoch-138/registry.bin
139,60048000,60479999,1275571,1275571,207473003,367015,848062,11937959,0.664848918641,0.106850006773,/home/ach/dev/blockzilla-v2/epoch-139/registry.bin
140,60480000,60911999,1278980,1278980,209959120,379313,790944,12728903,0.618417801686,0.100478415147,/home/ach/dev/blockzilla-v2/epoch-140/registry.bin
141,60912000,61343999,1329521,1329521,216251302,363668,847281,13576184,0.637282901135,0.097930390454,/home/ach/dev/blockzilla-v2/epoch-141/registry.bin
142,61344000,61775999,1687410,1687410,216658488,360128,1262061,14838245,0.747927889487,0.113720322046,/home/ach/dev/blockzilla-v2/epoch-142/registry.bin
143,61776000,62207999,1641824,1641824,223892044,381907,1184479,16022724,0.721440909622,0.102468469157,/home/ach/dev/blockzilla-v2/epoch-143/registry.bin
144,62208000,62639999,1750935,1750935,235665691,391649,1203487,17226211,0.687339621402,0.101643652223,/home/ach/dev/blockzilla-v2/epoch-144/registry.bin
145,62640000,63071999,2501949,2501949,226253002,389566,1969761,19195972,0.787290628226,0.130337187406,/home/ach/dev/blockzilla-v2/epoch-145/registry.bin
146,63072000,63503999,1129350,1129350,226928586,396349,571516,19767488,0.506057466684,0.057131690177,/home/ach/dev/blockzilla-v2/epoch-146/registry.bin
147,63504000,63935999,1199074,1199074,254681296,380145,579705,20347193,0.483460570407,0.058930683952,/home/ach/dev/blockzilla-v2/epoch-147/registry.bin
148,63936000,64367999,1293747,1293747,276986212,359173,617743,20964936,0.477483619286,0.061710038132,/home/ach/dev/blockzilla-v2/epoch-148/registry.bin
149,64368000,64799999,1185220,1185220,282870636,369835,630753,21595689,0.532182210898,0.054882249879,/home/ach/dev/blockzilla-v2/epoch-149/registry.bin
150,64800000,65231999,1334369,1334369,273565757,350751,619208,22214897,0.464045552617,0.060066404989,/home/ach/dev/blockzilla-v2/epoch-150/registry.bin
151,65232000,65663999,1590844,1590844,257051768,321385,774479,22989376,0.486835289947,0.069199094399,/home/ach/dev/blockzilla-v2/epoch-151/registry.bin
152,65664000,66095999,1329629,1329629,304942182,382503,568969,23558345,0.427915606534,0.056439830557,/home/ach/dev/blockzilla-v2/epoch-152/registry.bin
153,66096000,66527999,1627535,1627535,340943232,352492,784952,24343297,0.482295004409,0.066857624093,/home/ach/dev/blockzilla-v2/epoch-153/registry.bin
154,66528000,66959999,1502746,1502746,310609057,302944,711495,25054792,0.473463246617,0.059978386570,/home/ach/dev/blockzilla-v2/epoch-154/registry.bin
155,66960000,67391999,1502082,1502082,295399165,283992,709569,25764361,0.472390322233,0.058300766706,/home/ach/dev/blockzilla-v2/epoch-155/registry.bin
156,67392000,67823999,1322926,1322926,252000634,322055,607998,26372359,0.459585796938,0.050163354746,/home/ach/dev/blockzilla-v2/epoch-156/registry.bin
157,67824000,68255999,1587659,1587659,250799096,344572,821576,27193935,0.517476359848,0.058382834261,/home/ach/dev/blockzilla-v2/epoch-157/registry.bin
158,68256000,68687999,1412375,1412375,239305218,360026,708790,27902725,0.501842640942,0.050617816002,/home/ach/dev/blockzilla-v2/epoch-158/registry.bin
159,68688000,69119999,1481230,1481230,220097329,387909,755341,28658066,0.509941737610,0.051686321052,/home/ach/dev/blockzilla-v2/epoch-159/registry.bin
160,69120000,69551999,1448334,1448334,217130710,387933,801389,29459455,0.553317812052,0.049163638635,/home/ach/dev/blockzilla-v2/epoch-160/registry.bin
161,69552000,69983999,1231700,1231700,209103086,402025,568047,30027502,0.461189413006,0.041019063124,/home/ach/dev/blockzilla-v2/epoch-161/registry.bin
162,69984000,70415999,1305441,1305441,211224003,394219,642054,30669556,0.491829197949,0.042564717924,/home/ach/dev/blockzilla-v2/epoch-162/registry.bin
163,70416000,70847999,1194730,1194730,220467556,395205,631618,31301174,0.528670076084,0.038168855903,/home/ach/dev/blockzilla-v2/epoch-163/registry.bin
164,70848000,71279999,1259109,1259109,215867788,396448,628024,31929198,0.498784457898,0.039434407341,/home/ach/dev/blockzilla-v2/epoch-164/registry.bin
165,71280000,71711999,1170247,1170247,213871224,397173,676009,32605207,0.577663518898,0.035891414522,/home/ach/dev/blockzilla-v2/epoch-165/registry.bin
166,71712000,72143999,1324392,1324392,210290651,391808,840813,33446020,0.634867169237,0.039597895355,/home/ach/dev/blockzilla-v2/epoch-166/registry.bin
167,72144000,72575999,1328451,1328451,206441591,378884,897930,34343950,0.675922559432,0.038680786572,/home/ach/dev/blockzilla-v2/epoch-167/registry.bin
168,72576000,73007999,1354996,1354996,217219070,389999,950462,35294412,0.701450041181,0.038391233150,/home/ach/dev/blockzilla-v2/epoch-168/registry.bin
169,73008000,73439999,1334823,1334823,215017999,391029,906040,36200452,0.678771642383,0.036873103131,/home/ach/dev/blockzilla-v2/epoch-169/registry.bin
170,73440000,73871999,1190527,1190527,215810964,386596,786765,36987217,0.660854394734,0.032187525761,/home/ach/dev/blockzilla-v2/epoch-170/registry.bin
171,73872000,74303999,1355895,1355895,215817007,384801,914585,37901802,0.674524944778,0.035773892756,/home/ach/dev/blockzilla-v2/epoch-171/registry.bin
172,74304000,74735999,2836877,2836877,220241274,384493,2412895,40314697,0.850546216843,0.070368307617,/home/ach/dev/blockzilla-v2/epoch-172/registry.bin
